length,category
39,CD-Rómovia
130,Počítačové šialenstvo
109,Páni a ich sluhovia
60,Otázky a odpovede
204,Sexuálne harašenie
35,Sexuálne harašenie
62,Počítačové šialenstvo
169,Blondína z Londýna
405,Mužské pokolenie
71,Ženské pokolenie
190,Cudzinci versus cudzinci
33,Zo školských lavíc
206,Alkoholické opojenie
203,Zo školských lavíc
79,Zo školských lavíc
258,Policajné inferno
149,Počítačové šialenstvo
363,CD-Rómovia
144,V obchodoch
304,CD-Rómovia
232,Cudzinci versus cudzinci
115,V obchodoch
151,Ach tie babky
277,V obchodoch
126,Policajné inferno
265,Morbídne
127,Ženské pokolenie
98,V obchodoch
405,Na homosexuálnu nôtu
30,Zvieracia farma
212,Náboženský humor
304,Náboženský humor
79,Zvieracia farma
72,Mužské pokolenie
242,"Láska, bože láska"
147,CD-Rómovia
78,V obchodoch
222,Mužské pokolenie
307,Mužské pokolenie
102,Blondína z Londýna
86,Morbídne
158,CD-Rómovia
472,Náboženský humor
246,Sexuálne harašenie
116,Alkoholické opojenie
230,Ženské pokolenie
80,CD-Rómovia
149,Ženské pokolenie
414,Zo života
52,Morbídne
120,Mužské pokolenie
295,"Láska, bože láska"
169,Sexuálne harašenie
63,Na homosexuálnu nôtu
185,CD-Rómovia
105,Svokry
117,Blondína z Londýna
200,Svokry
132,Otázky a odpovede
245,Manželské pochúťky
87,Ženské pokolenie
150,Zo školských lavíc
58,Zo života
109,"Láska, bože láska"
115,Morbídne
41,Na homosexuálnu nôtu
161,Ženské pokolenie
211,Na homosexuálnu nôtu
87,Otázky a odpovede
141,Manželské pochúťky
185,Sexuálne harašenie
118,Politické pobavenie
89,Zvieracia farma
37,Cudzinci versus cudzinci
162,Policajné inferno
394,Počítačové šialenstvo
122,Manželské pochúťky
291,Politické pobavenie
79,Blondína z Londýna
96,Ženské pokolenie
130,Sexuálne harašenie
153,Morbídne
248,Na homosexuálnu nôtu
183,Na homosexuálnu nôtu
93,Manželské pochúťky
169,Svokry
154,Zo života
94,Počítačové šialenstvo
394,Zvieracia farma
101,Manželské pochúťky
180,Cudzinci versus cudzinci
175,Zo školských lavíc
225,"Láska, bože láska"
107,Politické pobavenie
135,Náboženský humor
106,Morbídne
218,CD-Rómovia
266,Náboženský humor
209,CD-Rómovia
131,"Láska, bože láska"
85,Blondína z Londýna
71,Zvieracia farma
71,Na homosexuálnu nôtu
142,Blondína z Londýna
148,Páni a ich sluhovia
30,Morbídne
220,Počítačové šialenstvo
122,Politické pobavenie
83,Otázky a odpovede
280,Cudzinci versus cudzinci
152,Alkoholické opojenie
131,Ach tie babky
117,Na homosexuálnu nôtu
145,Zvieracia farma
65,Počítačové šialenstvo
187,V obchodoch
131,Páni a ich sluhovia
254,Počítačové šialenstvo
394,Sexuálne harašenie
297,Ach tie babky
265,"Láska, bože láska"
274,Sexuálne harašenie
262,Na homosexuálnu nôtu
322,Cudzinci versus cudzinci
65,Cudzinci versus cudzinci
332,V obchodoch
142,Svokry
59,Blondína z Londýna
53,V obchodoch
116,Manželské pochúťky
72,Náboženský humor
166,Manželské pochúťky
88,Blondína z Londýna
285,Náboženský humor
301,Alkoholické opojenie
28,Otázky a odpovede
78,Svokry
76,"Láska, bože láska"
190,Ženské pokolenie
30,Zo života
79,Počítačové šialenstvo
445,Zvieracia farma
80,Sexuálne harašenie
94,Politické pobavenie
317,Páni a ich sluhovia
45,Náboženský humor
226,Manželské pochúťky
263,Alkoholické opojenie
352,Náboženský humor
73,Náboženský humor
87,Zo života
63,Otázky a odpovede
38,Blondína z Londýna
192,Ach tie babky
169,Mužské pokolenie
91,"Láska, bože láska"
344,Mužské pokolenie
121,Policajné inferno
109,Zvieracia farma
103,Ženské pokolenie
213,V obchodoch
213,Zvieracia farma
155,Manželské pochúťky
87,Sexuálne harašenie
54,Otázky a odpovede
130,Zo školských lavíc
240,Mužské pokolenie
201,Mužské pokolenie
83,Počítačové šialenstvo
162,Cudzinci versus cudzinci
91,Otázky a odpovede
69,Páni a ich sluhovia
80,Ženské pokolenie
81,Politické pobavenie
278,Svokry
62,Sexuálne harašenie
302,Na homosexuálnu nôtu
100,Počítačové šialenstvo
133,Manželské pochúťky
261,V obchodoch
121,Zo školských lavíc
112,Náboženský humor
98,Otázky a odpovede
157,V obchodoch
240,Náboženský humor
97,Zo školských lavíc
132,CD-Rómovia
271,Blondína z Londýna
53,CD-Rómovia
99,Svokry
302,Sexuálne harašenie
72,Počítačové šialenstvo
71,Blondína z Londýna
327,Zo života
173,"Láska, bože láska"
141,Zo života
120,Cudzinci versus cudzinci
140,"Láska, bože láska"
92,Svokry
102,Zo života
157,Alkoholické opojenie
131,Mužské pokolenie
177,Morbídne
96,V obchodoch
63,Svokry
319,Ach tie babky
172,CD-Rómovia
277,Na homosexuálnu nôtu
87,Mužské pokolenie
78,Ach tie babky
201,Morbídne
183,Politické pobavenie
111,Cudzinci versus cudzinci
160,Na homosexuálnu nôtu
72,Sexuálne harašenie
75,Manželské pochúťky
118,Ach tie babky
307,V obchodoch
169,Zvieracia farma
262,CD-Rómovia
110,Mužské pokolenie
130,Páni a ich sluhovia
60,Morbídne
135,Svokry
74,Morbídne
203,Ach tie babky
121,Páni a ich sluhovia
107,Ženské pokolenie
99,Ach tie babky
79,Morbídne
246,Cudzinci versus cudzinci
226,V obchodoch
92,Morbídne
250,Počítačové šialenstvo
96,Alkoholické opojenie
72,Otázky a odpovede
98,Morbídne
394,Na homosexuálnu nôtu
153,Cudzinci versus cudzinci
201,"Láska, bože láska"
133,Zvieracia farma
130,Zo života
345,Na homosexuálnu nôtu
81,Otázky a odpovede
385,Náboženský humor
291,Zo života
123,Morbídne
254,Zo školských lavíc
48,Svokry
158,Zvieracia farma
161,Zo školských lavíc
231,Zo života
176,V obchodoch
42,"Láska, bože láska"
79,Zo života
137,Ženské pokolenie
110,Zo života
106,Sexuálne harašenie
180,Manželské pochúťky
164,Politické pobavenie
273,Páni a ich sluhovia
196,Náboženský humor
178,Policajné inferno
101,Politické pobavenie
155,Mužské pokolenie
74,V obchodoch
86,Zo školských lavíc
87,Policajné inferno
53,Blondína z Londýna
29,Mužské pokolenie
196,Policajné inferno
88,"Láska, bože láska"
162,Svokry
71,Páni a ich sluhovia
68,Páni a ich sluhovia
49,Otázky a odpovede
75,Páni a ich sluhovia
78,Politické pobavenie
222,Politické pobavenie
194,Manželské pochúťky
194,Zvieracia farma
342,Sexuálne harašenie
217,Policajné inferno
34,Ach tie babky
206,Zo života
118,Páni a ich sluhovia
109,V obchodoch
75,Policajné inferno
122,Zvieracia farma
331,Zvieracia farma
129,Na homosexuálnu nôtu
107,Ach tie babky
288,Zo školských lavíc
178,Ženské pokolenie
394,Alkoholické opojenie
185,Policajné inferno
175,Ach tie babky
222,Zo školských lavíc
74,Páni a ich sluhovia
111,Otázky a odpovede
125,Náboženský humor
144,Sexuálne harašenie
330,Zo školských lavíc
148,Svokry
137,Politické pobavenie
288,Manželské pochúťky
51,Alkoholické opojenie
98,Mužské pokolenie
333,Manželské pochúťky
227,Ach tie babky
229,Svokry
131,Politické pobavenie
351,Cudzinci versus cudzinci
190,Páni a ich sluhovia
75,Politické pobavenie
85,Alkoholické opojenie
94,Na homosexuálnu nôtu
55,Ženské pokolenie
357,Morbídne
119,Svokry
327,Policajné inferno
61,Ach tie babky
220,Sexuálne harašenie
78,Otázky a odpovede
171,Ach tie babky
112,Blondína z Londýna
97,Policajné inferno
207,Páni a ich sluhovia
124,"Láska, bože láska"
131,Alkoholické opojenie
68,Policajné inferno
207,Svokry
297,Policajné inferno
54,Počítačové šialenstvo
113,CD-Rómovia
53,Politické pobavenie
193,Zo školských lavíc
171,Alkoholické opojenie
61,Cudzinci versus cudzinci
273,Ženské pokolenie
86,CD-Rómovia
138,Alkoholické opojenie
56,Mužské pokolenie
219,Cudzinci versus cudzinci
67,"Láska, bože láska"
164,Ach tie babky
108,Zo školských lavíc
263,Zo života
149,Policajné inferno
157,Sexuálne harašenie
226,Alkoholické opojenie
102,Zvieracia farma
68,Zo života
62,CD-Rómovia
62,Páni a ich sluhovia
89,Politické pobavenie
123,Ach tie babky
384,Policajné inferno
37,Cudzinci versus cudzinci
210,Ženské pokolenie
156,Svokry
156,Počítačové šialenstvo
58,Otázky a odpovede
123,CD-Rómovia
108,Svokry
39,Počítačové šialenstvo
63,Ženské pokolenie
239,Policajné inferno
74,Ach tie babky
234,Blondína z Londýna
264,Mužské pokolenie
95,Sexuálne harašenie
117,Ženské pokolenie
47,Policajné inferno
116,"Láska, bože láska"
72,Cudzinci versus cudzinci
138,V obchodoch
74,Otázky a odpovede
46,Otázky a odpovede
124,Alkoholické opojenie
82,Cudzinci versus cudzinci
372,Zo školských lavíc
109,Policajné inferno
159,Blondína z Londýna
65,Zo školských lavíc
97,CD-Rómovia
110,Alkoholické opojenie
341,Náboženský humor
189,Mužské pokolenie
75,Ženské pokolenie
94,Svokry
66,Blondína z Londýna
181,Počítačové šialenstvo
106,CD-Rómovia
158,Ach tie babky
93,Zo života
60,Zvieracia farma
70,Otázky a odpovede
188,Zo života
51,Počítačové šialenstvo
209,Manželské pochúťky
127,Blondína z Londýna
220,Morbídne
74,Blondína z Londýna
62,Na homosexuálnu nôtu
134,"Láska, bože láska"
412,Manželské pochúťky
71,CD-Rómovia
146,Morbídne
249,Zvieracia farma
118,Zo života
104,Alkoholické opojenie
284,Zvieracia farma
182,Alkoholické opojenie
310,Počítačové šialenstvo
203,Blondína z Londýna
180,Zvieracia farma
96,"Láska, bože láska"
97,Cudzinci versus cudzinci
83,Páni a ich sluhovia
105,Zo školských lavíc
59,Náboženský humor
174,Zo života
141,Mužské pokolenie
85,V obchodoch
67,Otázky a odpovede
138,Zo školských lavíc
66,Morbídne
136,Morbídne
119,Počítačové šialenstvo
88,Politické pobavenie
146,Náboženský humor
372,Na homosexuálnu nôtu
81,"Láska, bože láska"
101,Svokry
110,Manželské pochúťky
307,Páni a ich sluhovia
185,"Láska, bože láska"
32,Ženské pokolenie
275,Páni a ich sluhovia
433,Náboženský humor
62,Politické pobavenie
104,Páni a ich sluhovia
104,Otázky a odpovede
114,Sexuálne harašenie
258,Ach tie babky
40,Politické pobavenie
80,Mužské pokolenie
70,Alkoholické opojenie
138,Policajné inferno
196,Alkoholické opojenie
133,V obchodoch
166,Cudzinci versus cudzinci
92,Blondína z Londýna
168,Na homosexuálnu nôtu
49,Manželské pochúťky
148,Manželské pochúťky
154,Náboženský humor
154,Politické pobavenie
156,Na homosexuálnu nôtu
